session_id,WER_c1,WER_c2,DER_mix,DER_c1,DER_c2,red_c1,red_c2,sil_c1,sil_c2,SNR_c1,SNR_c2,result,fail_reasons
en_0638,0.13183279742765272,0.17094972067039105,0.0187,0.0166,0.0903,,,-57.723563699167826,-56.85851758697794,30.978775187077872,22.736334867424056,FAIL,WER(c1)=0.13; WER(c2)=0.17
en_4065,0.07799442896935933,0.11567877629063097,0.0366,0.0308,0.075,,,-49.57213534035559,-42.5192288536812,22.13306553310131,20.63119510702961,FAIL,WER(c2)=0.12
en_4074,0.2982315112540193,0.2301980198019802,0.014,0.2897,0.0686,,,-44.40181478742527,-59.05959740687685,19.2765925072681,38.93748036883827,FAIL,WER(c1)=0.30; WER(c2)=0.23; DER(c1)=0.29; SNR(c1)=19.3
en_4077,0.29978586723768735,0.08534946236559139,0.0085,0.0316,0.0368,,,-45.39131600010042,-44.298673895546855,24.767754971677064,24.161720517563477,FAIL,WER(c1)=0.30
en_4092,0.17893660531697342,0.22712238147739802,0.0387,0.0407,0.0755,,,-48.67598469589079,-37.828691648038095,20.618148754379284,22.656590961510723,FAIL,WER(c1)=0.18; WER(c2)=0.23; sil(c2)=-37.83
en_4093,0.2299794661190965,0.07231920199501247,0.0218,0.0632,0.0311,,,-49.67120393942311,-48.400436827548305,20.74282522897564,28.2559583259691,FAIL,WER(c1)=0.23
en_4104,0.2851919561243144,0.3869565217391304,0.0407,0.0906,0.0508,,,-55.02871106893813,-43.66762858378436,31.546944990597478,17.575341954840496,FAIL,WER(c1)=0.29; WER(c2)=0.39; SNR(c2)=17.6
en_4112,0.5547703180212014,0.21961620469083157,0.4459,0.6169,0.2319,,,-32.07891794245924,-41.38223278607984,5.736939031415135,13.084001513538201,FAIL,WER(c1)=0.55; WER(c2)=0.22; DER(mix)=0.45; DER(c1)=0.62; DER(c2)=0.23; SNR(c1)=5.7; SNR(c2)=13.1; sil(c1)=-32.08
en_4145,0.08503767491926803,0.05,0.0132,0.0469,0.0374,,,-33.245938506112786,-50.42672988452577,16.247930702029123,22.778693104654884,FAIL,SNR(c1)=16.2; sil(c1)=-33.25
en_4157,0.058431952662721894,0.08839779005524862,0.0189,0.0143,0.0088,,,-63.38819710528909,-55.52875839227752,39.06041258809823,33.01028087591345,PASS,
en_4184,0.05945945945945946,0.10025062656641603,0.0279,0.0402,0.0289,,,-43.13263956144673,-46.4092799579513,19.394147593514145,31.475101552534962,FAIL,WER(c2)=0.10; SNR(c1)=19.4
en_4234,0.08301158301158301,0.2145922746781116,0.0371,0.0201,0.2034,,,-47.355929555930665,-42.055945839555974,22.858422745896352,24.61825830497633,FAIL,WER(c2)=0.21; DER(c2)=0.20
en_4245,0.0781627719580983,0.13534675615212527,0.0142,0.0925,0.0618,,,-41.44774621900191,-47.153802175192354,18.014458280649595,21.764685420135383,FAIL,WER(c2)=0.14; SNR(c1)=18.0
en_4247,0.06898861352980576,0.5736568457538995,0.0226,0.0207,0.0124,,,-49.298483417386365,-44.93216342484145,25.921096743880582,20.37747786433584,FAIL,WER(c2)=0.57
en_4248,0.15087719298245614,0.10369609856262833,0.0075,0.0193,0.041,,,-46.9758022250202,-42.897500020092636,20.36578351907099,19.148861062740593,FAIL,WER(c1)=0.15; WER(c2)=0.10; SNR(c2)=19.1
